variable,value,freq,unweighted,weighted,diff
Q430_77,1,576,27.78581766,27.82223116,-0.036413505
Q430_77,2,895,43.17414375,42.85417225,0.319971506
Q430_77,3,450,21.70767004,21.85605171,-0.148381663
Q430_77,4,152,7.332368548,7.467544886,-0.135176338
Q430_78,1,436,21.03232031,21.08813909,-0.055818786
Q430_78,2,859,41.43753015,41.18219102,0.255339133
Q430_78,3,501,24.16787265,24.15124243,0.016630221
Q430_78,4,277,13.36227689,13.57842746,-0.216150568
Q430_79,1,404,19.48866377,19.32709629,0.161567479
Q430_79,2,770,37.14423541,37.00836051,0.135874895
Q430_79,3,492,23.73371925,23.49263627,0.241082977
Q430_79,4,407,19.63338157,20.17190692,-0.538525351
Q430_80,1,357,17.22141823,17.10905425,0.112363985
Q430_80,2,865,41.72696575,41.92856923,-0.201603481
Q430_80,3,567,27.35166425,27.06217859,0.289485664
Q430_80,4,284,13.69995176,13.90019793,-0.200246167
Q430_81,1,199,9.599614086,9.578071628,0.021542458
Q430_81,2,491,23.68547998,23.67911316,0.006366816
Q430_81,3,486,23.44428365,23.26825448,0.176029169
Q430_81,4,897,43.27062229,43.47456073,-0.203938443
Q430_82,1,298,14.3753015,14.14480386,0.230497636
Q430_82,2,644,31.0660878,31.0068191,0.059268693
Q430_82,3,619,29.86010613,29.66368722,0.196418907
Q430_82,4,512,24.69850458,25.18468982,-0.486185236
Q430_83,1,555,26.77279305,27.12353626,-0.350743208
Q430_83,2,733,35.35938254,35.21978859,0.139593949
Q430_83,3,525,25.32561505,25.16499851,0.160616538
Q430_83,4,260,12.54220936,12.49167664,0.050532721
Q430_84,1,332,16.01543657,16.00052045,0.01491612
Q430_84,2,709,34.20164014,33.97812087,0.223519263
Q430_84,3,512,24.69850458,24.77077813,-0.072273543
Q430_84,4,520,25.08441872,25.25058056,-0.166161839
Q430_85,1,213,10.27496382,10.4088862,-0.133922381
Q430_85,2,424,20.45344911,20.84109262,-0.387643516
Q430_85,3,387,18.66859624,18.61049645,0.058099789
Q430_85,4,1049,50.60299083,50.13952473,0.463466108
Q430_86,1,432,20.83936324,20.7167208,0.122642443
Q430_86,2,837,40.37626628,40.57113235,-0.19486607
Q430_86,3,480,23.15484805,22.90108404,0.253764002
Q430_86,4,324,15.62952243,15.81106281,-0.181540375
Q430_87,1,357,17.22141823,17.11931456,0.102103679
Q430_87,2,732,35.31114327,35.31881798,-0.007674707
Q430_87,3,501,24.16787265,24.09423108,0.073641572
Q430_87,4,483,23.29956585,23.46763639,-0.168070544
Q431_16,1,1121,54.07621804,53.71439943,0.361818607
Q431_16,2,550,26.53159672,26.63301007,-0.101413349
Q431_16,3,172,8.297153883,8.368844234,-0.07169035
Q431_16,4,41,1.977809937,1.975908112,0.001901825
Q431_16,5,26,1.254220936,1.188916704,0.065304232
Q431_16,6,61,2.942595273,3.011599544,-0.069004272
Q431_16,7,102,4.92040521,5.107321903,-0.186916693
Q431_17,1,915,44.13892909,43.63756495,0.501364136
Q431_17,2,603,29.08827786,29.08221963,0.006058231
Q431_17,3,192,9.261939219,9.450451828,-0.18851261
Q431_17,4,54,2.604920405,2.630679104,-0.025758699
Q431_17,5,23,1.109503136,1.084825737,0.024677398
Q431_17,6,97,4.679208876,4.781765505,-0.102556629
Q431_17,7,189,9.117221418,9.332493246,-0.215271827
Q431_18,1,579,27.93053546,27.60506685,0.32546861
Q431_18,2,540,26.04920405,25.77256174,0.276642315
Q431_18,3,333,16.06367583,16.19866485,-0.134989021
Q431_18,4,119,5.740472745,5.753328169,-0.012855424
Q431_18,5,50,2.411963338,2.334576921,0.077386417
Q431_18,6,319,15.3883261,15.68386596,-0.295539864
Q431_18,7,133,6.415822479,6.651935511,-0.236113031
Q431_19,1,741,35.74529667,35.39736966,0.347927009
Q431_19,2,554,26.72455379,26.39599329,0.328560495
Q431_19,3,288,13.89290883,13.94249787,-0.04958904
Q431_19,4,98,4.727448143,4.743330152,-0.015882009
Q431_19,5,32,1.543656536,1.561408969,-0.017752432
Q431_19,6,212,10.22672455,10.47949148,-0.252766922
Q431_19,7,148,7.139411481,7.479908582,-0.340497101
Q431_20,1,1400,67.53497347,67.65829077,-0.123317303
Q431_20,2,510,24.60202605,24.47828534,0.123740709
Q431_20,3,98,4.727448143,4.75801938,-0.030571238
Q431_20,4,16,0.771828268,0.807015898,-0.03518763
Q431_20,5,9,0.434153401,0.398568161,0.03558524
Q431_20,6,23,1.109503136,1.060191727,0.049311409
Q431_20,7,17,0.820067535,0.839628722,-0.019561187
Q431_21,1,1086,52.3878437,52.20846536,0.179378348
Q431_21,2,563,27.15870719,27.08830656,0.07040063
Q431_21,3,209,10.08200675,10.02910038,0.052906374
Q431_21,4,53,2.556681138,2.617814124,-0.061132985
Q431_21,5,18,0.868306802,0.901482432,-0.03317563
Q431_21,6,92,4.438012542,4.574510873,-0.13649833
Q431_21,7,52,2.508441872,2.580320278,-0.071878406
Q431_22,1,1062,51.2301013,50.43219356,0.797907739
Q431_22,2,507,24.45730825,24.51919458,-0.06188633
Q431_22,3,145,6.994693681,6.968989928,0.025703753
Q431_22,4,36,1.736613603,1.824761438,-0.088147834
Q431_22,5,24,1.157742402,1.192419158,-0.034676755
Q431_22,6,66,3.183791606,3.344223251,-0.160431645
Q431_22,7,233,11.23974916,11.71821808,-0.478468927
Q431_23,1,930,44.86251809,44.17865218,0.683865906
Q431_23,2,481,23.20308731,23.15736417,0.045723145
Q431_23,3,180,8.683068017,8.805991337,-0.122923319
Q431_23,4,35,1.688374337,1.802980387,-0.114606051
Q431_23,5,18,0.868306802,0.880406891,-0.01210009
Q431_23,6,96,4.630969609,4.809880304,-0.178910695
Q431_23,7,333,16.06367583,16.36472473,-0.301048896
Q431_24,1,796,38.39845634,37.81677531,0.581681038
Q431_24,2,501,24.16787265,24.05940083,0.108471816
Q431_24,3,210,10.13024602,10.15126449,-0.021018473
Q431_24,4,62,2.990834539,3.04691288,-0.056078341
Q431_24,5,30,1.447178003,1.429974883,0.01720312
